"Player","Team","FG","FGA","XPT","FPTS"
"Younghoe Koo","ATL","33.1","37.8","47.3","146.4"
"Justin Tucker","BAL","31.5","35.5","47.5","142.0"
"Harrison Butker","KC","30.8","34.5","47.3","139.7"
"Brandon Aubrey","DAL","31.9","35.5","42.7","138.5"
"Jake Elliott","PHI","29.3","32.8","48.1","136.1"
"Jason Myers","SEA","31.5","36.6","38.8","133.5"
"Ka'imi Fairbairn","HOU","29.9","33.5","42.0","131.7"
"Cameron Dicker","LAC","30.0","33.2","41.4","131.4"
"Blake Grupe","NO","29.8","34.9","41.2","130.6"
"Greg Zuerlein","NYJ","30.8","35.2","38.1","130.4"
"Evan McPherson","CIN","27.8","32.2","45.3","128.5"
"Matt Gay","IND","29.5","34.6","38.7","127.1"
"Jake Moody","SF","26.4","31.5","47.7","126.9"
"Jason Sanders","MIA","27.2","32.2","44.6","126.1"
"Tyler Bass","BUF","27.2","33.2","44.1","125.9"
"Cairo Santos","CHI","29.3","33.2","37.2","125.0"
"Chase McLaughlin","TB","28.5","32.2","38.4","123.9"
"Jake Bates","DET","25.6","30.5","45.2","121.9"
"Matt Prater","ARI","28.9","33.6","34.7","121.3"
"Cam Little","JAC","28.2","33.9","36.2","120.8"
"Joshua Karty","LAR","27.5","33.2","38.1","120.5"
"Dustin Hopkins","CLE","27.9","32.2","36.4","120.2"
"Chris Boswell","PIT","27.5","31.6","32.2","114.8"
"Nick Folk","TEN","27.4","30.6","31.2","113.5"
"Wil Lutz","DEN","27.1","32.3","32.0","113.2"
"Daniel Carlson","LV","26.9","30.6","32.4","113.1"
"Will Reichard","MIN","26.2","31.2","33.0","111.7"
"Eddy Pineiro","CAR","26.3","30.6","29.8","108.6"
"Graham Gano","NYG","25.0","30.0","29.7","104.6"
"Chad Ryland","NE","22.8","29.3","27.2","95.7"
"Anders Carlson","GB","21.7","27.2","26.2","91.2"
"Greg Joseph","GB","19.0","28.0","21.0","78.0"
"Riley Patterson","WAS","14.0","19.0","18.0","60.0"
"Ramiz Ahmed","WAS","11.5","14.5","0.0","34.5"
""
""
