"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Patrick Mahomes II","KC","610.8","406.2","4,836.1","37.7","11.2","64.9","356.8","3.2","1.9","383.9"
"Josh Allen","BUF","577.0","364.0","4,284.2","32.1","14.2","116.6","659.8","6.2","4.2","380.5"
"Jalen Hurts","PHI","494.3","318.3","3,807.8","23.5","10.1","157.5","800.3","11.0","2.9","376.5"
"Lamar Jackson","BAL","481.6","305.7","3,488.8","25.5","11.6","148.6","940.7","5.5","3.0","351.2"
"Joe Burrow","CIN","598.4","406.9","4,633.6","33.1","13.1","65.0","272.8","3.9","2.3","350.4"
"Justin Fields","CHI","415.0","257.0","2,970.5","20.9","12.7","153.1","1,028.8","6.8","3.3","326.8"
"Justin Herbert","LAC","627.3","421.7","4,594.0","30.1","12.7","57.2","220.8","2.0","2.0","321.5"
"Deshaun Watson","CLE","503.8","324.2","3,851.2","24.7","10.8","98.2","490.2","4.1","1.8","312.0"
"Dak Prescott","DAL","552.4","364.5","4,123.6","29.2","13.8","58.8","251.4","2.4","3.1","301.3"
"Trevor Lawrence","JAC","578.8","378.7","4,090.3","26.9","12.2","62.4","285.3","3.9","5.2","301.0"
"Kirk Cousins","MIN","592.9","395.1","4,442.4","30.5","12.3","31.6","92.1","1.5","2.8","299.9"
"Daniel Jones","NYG","519.2","337.7","3,507.0","20.8","10.0","109.6","637.5","4.9","4.1","298.5"
"Geno Smith","SEA","544.5","370.8","4,048.9","27.1","11.3","61.8","321.3","2.0","3.5","295.8"
"Aaron Rodgers","NYJ","558.5","361.3","4,051.8","27.9","8.5","36.4","125.0","1.5","2.6","281.6"
"Tua Tagovailoa","MIA","535.5","350.9","4,117.7","27.1","12.3","43.1","133.3","1.6","1.8","280.4"
"Russell Wilson","DEN","511.4","321.9","3,781.8","23.7","10.9","63.5","317.5","2.6","2.1","278.6"
"Jared Goff","DET","568.6","373.4","4,221.8","27.6","11.0","32.2","83.7","1.2","3.5","276.8"
"Anthony Richardson","IND","489.1","302.5","3,218.5","18.4","13.1","135.8","611.2","4.3","2.3","272.0"
"Derek Carr","NO","511.8","336.8","3,960.7","24.0","11.9","34.6","116.8","1.0","2.6","255.0"
"Jordan Love","GB","544.6","345.4","3,828.0","23.3","14.5","44.0","170.3","1.5","2.6","252.5"
"Kenny Pickett","PIT","502.1","318.0","3,318.2","17.7","12.3","67.0","421.2","3.6","1.5","251.8"
"Brock Purdy","SF","446.2","291.4","3,509.3","24.7","10.2","38.4","125.3","2.1","1.4","251.4"
"Matthew Stafford","LAR","524.5","348.3","3,969.1","24.2","13.2","30.3","71.3","0.8","2.8","248.7"
"Bryce Young","CAR","521.0","327.1","3,626.3","20.2","12.9","51.4","203.4","1.6","2.3","238.2"
"Jimmy Garoppolo","LV","486.3","321.5","3,575.5","21.5","11.9","29.9","65.5","1.5","2.3","227.9"
"Sam Howell","WAS","516.2","322.4","3,295.9","18.3","12.9","56.4","235.3","1.9","2.4","222.4"
"Mac Jones","NE","508.4","332.8","3,523.5","19.3","13.6","52.1","152.5","1.2","2.2","222.4"
"Ryan Tannehill","TEN","451.8","293.8","3,264.4","19.0","10.9","41.3","162.9","2.3","2.1","221.8"
"C.J. Stroud","HOU","512.1","320.7","3,400.4","18.9","14.1","49.4","177.2","1.4","2.4","218.6"
"Kyler Murray","ARI","406.5","267.8","2,756.9","13.5","9.5","74.8","412.1","2.7","2.3","207.7"
"Baker Mayfield","TB","480.4","295.2","3,108.4","16.4","11.7","35.7","126.1","1.1","2.4","192.7"
"Desmond Ridder","ATL","437.0","269.4","2,910.8","16.5","10.2","39.4","170.9","1.4","3.0","191.9"
"Joshua Dobbs","ARI","156.2","95.9","1,351.3","6.4","7.2","19.8","119.5","0.8","1.5","86.3"
"Jacoby Brissett","WAS","162.2","94.5","1,098.0","4.6","3.5","21.6","88.4","0.9","1.5","70.1"
"Kyle Trask","TB","201.1","121.8","1,254.9","5.4","6.1","17.8","50.2","0.2","1.2","69.7"
"Will Levis","TEN","127.4","78.4","935.2","3.7","4.3","17.6","58.8","0.3","0.9","53.9"
"Brian Hoyer","LV","98.0","59.5","742.6","4.0","4.0","10.4","32.5","0.2","0.8","44.7"
"Taylor Heinicke","ATL","99.0","60.6","705.1","3.8","4.0","18.1","51.0","0.2","1.2","43.4"
"Sam Darnold","SF","139.6","82.3","762.4","3.1","4.3","17.2","50.3","0.2","1.2","42.6"
