"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Christian McCaffrey","SF","220.0","1,007.0","7.3","74.7","631.8","4.2","0.5","232.1"
"Austin Ekeler","LAC","191.3","864.0","9.4","77.6","604.7","3.9","1.5","223.9"
"Nick Chubb","CLE","279.5","1,396.7","9.2","28.9","239.6","1.1","1.2","223.4"
"Derrick Henry","TEN","308.8","1,355.6","9.4","32.4","273.5","0.8","1.8","220.8"
"Bijan Robinson","ATL","248.9","1,185.5","8.9","40.6","337.1","2.0","1.9","214.1"
"Josh Jacobs","LV","263.5","1,228.2","9.8","39.0","287.7","0.8","1.2","212.8"
"Tony Pollard","DAL","223.0","1,116.6","8.2","45.7","379.2","2.2","0.5","211.0"
"Saquon Barkley","NYG","254.6","1,136.9","7.9","53.3","379.2","1.7","0.7","207.9"
"Joe Mixon","CIN","229.3","958.7","7.5","49.6","366.5","2.1","0.6","188.7"
"Aaron Jones","GB","201.2","999.9","5.6","50.0","376.7","2.6","1.3","184.6"
"Najee Harris","PIT","256.8","1,017.5","6.6","38.2","261.6","2.2","1.0","179.1"
"Travis Etienne Jr.","JAC","218.9","1,084.8","6.5","36.2","293.4","0.9","2.6","177.2"
"Rhamondre Stevenson","NE","208.9","960.0","6.0","51.2","366.3","1.4","1.0","174.4"
"Kenneth Walker III","SEA","228.9","1,041.6","8.3","25.9","174.4","0.6","0.4","174.2"
"Alexander Mattison","MIN","216.1","932.9","8.0","34.1","234.4","1.6","0.9","172.7"
"James Conner","ARI","214.3","919.2","6.9","41.2","305.8","1.2","0.8","169.3"
"Dameon Pierce","HOU","258.5","1,088.5","5.9","33.0","218.6","1.1","2.1","168.7"
"Jahmyr Gibbs","DET","179.7","795.8","6.6","44.9","355.7","2.0","1.5","164.2"
"Miles Sanders","CAR","218.1","1,014.0","6.0","29.8","208.6","0.8","1.4","160.4"
"Breece Hall","NYJ","177.3","840.1","5.7","36.7","330.8","1.9","1.1","160.3"
"J.K. Dobbins","BAL","174.9","906.8","6.9","24.7","175.7","1.7","0.4","159.5"
"Cam Akers","LAR","233.2","984.2","6.4","24.0","199.8","0.7","2.2","156.4"
"Isiah Pacheco","KC","196.5","945.0","6.9","24.4","200.7","0.7","1.9","156.4"
"Jonathan Taylor","IND","203.4","976.1","6.1","25.1","178.7","0.7","1.7","152.9"
"Rachaad White","TB","205.4","840.1","4.5","48.1","342.1","1.9","2.7","151.5"
"David Montgomery","DET","194.4","788.2","6.3","33.9","279.9","1.2","1.0","149.8"
"James Cook","BUF","165.8","846.2","4.9","35.5","273.6","1.8","1.5","149.4"
"Javonte Williams","DEN","176.4","814.5","4.8","36.6","256.6","1.5","1.6","142.1"
"Alvin Kamara","NO","173.5","721.2","3.7","42.9","368.7","1.8","1.1","139.6"
"Khalil Herbert","CHI","173.0","843.7","5.0","20.7","137.6","0.8","0.4","131.9"
"AJ Dillon","GB","169.0","745.1","5.8","25.1","197.4","0.7","0.7","131.8"
"Dalvin Cook","NYJ","178.8","770.2","4.8","27.6","208.2","1.0","1.6","129.2"
"Brian Robinson Jr.","WAS","211.7","890.4","4.4","16.2","104.9","0.7","0.5","129.0"
"D'Andre Swift","PHI","117.8","554.3","4.8","40.0","328.4","1.8","0.8","125.8"
"Samaje Perine","DEN","155.4","650.1","4.0","29.1","232.0","1.5","0.4","120.3"
"Antonio Gibson","WAS","141.7","568.3","3.7","42.6","309.3","1.4","1.1","116.3"
"Jeff Wilson Jr.","MIA","138.9","634.3","4.4","23.0","175.1","1.1","1.2","111.4"
"Jamaal Williams","NO","158.6","659.3","5.3","15.3","113.6","0.5","0.8","111.0"
"Rashaad Penny","PHI","152.2","735.7","5.0","8.3","55.9","0.2","0.7","109.0"
"Raheem Mostert","MIA","142.6","623.9","3.4","23.5","165.9","1.0","0.8","103.3"
"Tyler Allgeier","ATL","148.8","693.0","3.4","12.2","93.1","0.4","0.3","100.5"
"Elijah Mitchell","SF","141.2","628.6","4.0","12.8","93.0","0.8","0.3","100.2"
"Zach Charbonnet","SEA","125.4","540.4","3.5","22.3","180.7","0.7","1.0","95.6"
"Ezekiel Elliott","NE","142.4","560.8","4.2","16.6","121.6","0.5","0.8","95.1"
"Jaylen Warren","PIT","114.7","510.4","3.1","25.0","209.3","0.5","0.4","92.7"
"Damien Harris","BUF","120.3","540.8","3.8","17.3","118.6","0.4","0.7","89.9"
"Chuba Hubbard","CAR","112.2","524.5","3.1","17.6","154.7","0.5","0.7","88.0"
"Devin Singletary","HOU","124.5","528.6","2.7","22.8","164.1","0.4","1.2","85.4"
"Kenneth Gainwell","PHI","95.8","417.6","3.9","22.1","169.9","0.7","0.3","85.4"
"D'Onta Foreman","CHI","126.1","613.2","3.1","6.9","50.4","0.2","0.6","85.0"
"Jerick McKinnon","KC","61.3","239.7","1.7","37.7","326.1","3.1","0.2","85.0"
"Gus Edwards","BAL","118.1","569.6","3.1","6.9","61.5","0.2","1.0","80.8"
"Tank Bigsby","JAC","112.2","447.1","2.9","17.9","146.2","0.7","0.9","79.1"
"De'Von Achane","MIA","110.0","435.4","2.6","18.0","151.5","0.8","0.9","77.6"
"Zack Moss","IND","75.1","471.6","2.4","12.9","89.3","0.4","0.7","71.5"
"Tyjae Spears","TEN","98.9","390.0","2.0","16.6","138.8","0.6","0.9","67.1"
"Kyren Williams","LAR","98.0","397.2","1.8","17.3","142.2","0.4","0.6","66.2"
"Joshua Kelley","LAC","94.9","387.2","2.3","14.7","122.5","0.3","0.9","65.1"
"Cordarrelle Patterson","ATL","69.9","300.8","2.3","19.2","157.8","0.8","0.2","64.1"
"Chase Edmonds","TB","75.0","334.8","1.6","20.2","162.7","0.8","0.4","63.6"
"Roschon Johnson","CHI","94.6","370.6","2.1","9.6","99.1","0.5","0.8","60.9"
"Jerome Ford","CLE","101.6","378.4","1.9","10.7","103.6","0.5","0.8","60.9"
"Ty Chandler","MIN","96.5","344.2","2.1","13.6","115.2","0.6","0.8","60.5"
"Clyde Edwards-Helaire","KC","71.2","310.9","2.1","13.6","118.6","0.9","0.3","60.5"
"Deon Jackson","IND","80.0","287.7","1.6","25.6","176.9","1.0","0.9","60.5"
"Kendre Miller","NO","86.0","333.8","1.9","15.4","134.1","0.6","0.8","60.1"
"Keaontay Ingram","ARI","83.0","345.5","2.0","14.5","104.5","0.3","0.4","58.0"
"Chase Brown","CIN","67.2","275.5","1.6","16.1","134.7","0.6","0.8","52.6"
"Latavius Murray","BUF","59.4","283.2","1.6","10.3","72.9","0.2","0.0","46.3"
"Deuce Vaughn","DAL","74.1","258.6","1.4","11.3","97.9","0.5","0.7","45.9"
"Evan Hull","IND","68.2","268.7","1.3","9.3","84.5","0.3","0.3","44.6"
"Ronald Jones II","DAL","60.2","289.5","1.8","4.4","41.4","0.1","0.5","43.5"
"Matt Breida","NYG","58.3","260.2","1.2","12.4","99.7","0.3","0.8","43.2"
"Isaiah Spiller","LAC","67.9","264.8","1.1","7.9","71.5","0.3","0.3","41.3"
"Zach Evans","LAR","58.4","225.2","1.3","8.9","87.7","0.4","0.5","40.5"
"Sean Tucker","TB","56.7","223.4","0.8","11.7","91.1","0.3","0.3","38.0"
"Pierre Strong Jr.","CLE","45.8","218.5","1.2","8.4","80.8","0.3","0.3","38.0"
"Zamir White","LV","58.7","226.3","1.6","6.5","31.0","0.2","0.2","36.6"
"Myles Gaskin","MIN","56.3","203.8","0.6","19.7","111.2","0.3","0.4","36.1"
"JaMycal Hasty","JAC","38.0","183.6","1.0","13.2","95.6","0.4","0.2","36.0"
"Michael Carter","NYJ","43.3","166.0","0.8","12.6","116.6","0.4","0.3","34.7"
"Rico Dowdle","DAL","57.9","206.5","1.2","6.5","53.9","0.2","0.2","34.6"
"Ke'Shawn Vaughn","TB","55.5","219.5","1.3","6.9","45.9","0.2","0.6","34.0"
"Jordan Mason","SF","55.7","243.1","0.9","2.8","32.9","0.1","0.2","33.5"
"Trayveon Williams","CIN","52.4","195.7","0.7","9.4","69.4","0.3","0.9","30.9"
"Israel Abanikanda","NYJ","54.7","208.1","0.6","2.0","65.0","0.1","0.2","30.8"
"Chris Rodriguez Jr.","WAS","41.9","172.8","0.9","10.0","67.8","0.2","0.2","30.1"
"Ameer Abdullah","LV","28.1","97.8","0.4","18.8","140.2","0.6","0.1","29.5"
"Melvin Gordon III","BAL","43.7","175.8","0.6","11.2","86.0","0.3","0.9","29.4"
"Raheem Blackshear","CAR","32.7","122.2","1.2","11.9","86.7","0.3","0.4","29.1"
"Chris Evans","CIN","35.8","135.2","0.5","10.7","90.9","0.5","0.2","28.3"
"Malik Davis","DAL","58.6","214.3","0.0","0.0","74.3","0.0","0.3","28.3"
"Hassan Haskins","TEN","56.1","166.3","0.4","12.8","81.7","0.2","0.2","28.0"
"Kene Nwangwu","MIN","47.2","155.4","0.9","7.6","52.6","0.2","0.2","27.2"
"Eric Gray","NYG","52.0","167.9","0.6","5.8","56.1","0.3","0.6","26.8"
"DeeJay Dallas","SEA","20.8","125.7","0.6","11.2","91.6","0.3","0.1","26.8"
"Anthony McFarland Jr.","PIT","27.0","145.7","0.7","9.5","60.6","0.2","0.2","26.0"
"Owen Wright","BAL","0.0","145.0","1.1","6.5","41.2","0.2","0.2","25.9"
"Boston Scott","PHI","31.5","143.4","1.1","3.6","34.0","0.1","0.2","24.5"
"Emari Demercado","ARI","33.8","131.3","0.8","12.7","56.5","0.2","0.2","24.3"
"Tyrion Davis-Price","SF","32.1","154.8","0.7","3.7","40.5","0.1","0.3","23.8"
"Salvon Ahmed","MIA","30.2","119.5","0.6","7.6","61.9","0.2","0.0","22.9"
"Tyler Badie","DEN","24.0","110.8","0.5","14.7","63.6","0.2","0.1","21.9"
"Jaleel McLaughlin","DEN","20.8","121.6","0.8","6.2","37.0","0.2","0.2","21.5"
"Kyle Juszczyk","SF","9.9","34.3","0.4","13.1","119.6","0.6","0.0","21.3"
"Keaton Mitchell","BAL","23.1","112.7","0.8","7.1","45.3","0.2","0.2","21.2"
"Ty Montgomery","NE","19.1","56.6","0.2","15.3","113.4","0.4","0.1","21.0"
"Gary Brightwell","NYG","25.5","121.0","0.8","5.0","31.4","0.1","0.1","20.7"
"Brandon Bolden","LV","19.8","83.1","0.5","7.4","68.6","0.4","0.1","20.3"
"D'Ernest Johnson","JAC","32.5","133.9","0.4","4.8","38.4","0.1","0.0","20.3"
"Julius Chestnut","TEN","25.8","99.2","0.6","8.1","57.6","0.2","0.1","20.3"
"Mike Boone","HOU","21.8","107.5","0.5","7.2","48.8","0.2","0.0","19.5"
"Dare Ogunbowale","HOU","22.8","91.7","0.6","9.0","57.0","0.2","0.0","19.3"
"Travis Homer","CHI","18.8","93.7","0.3","7.5","70.2","0.2","0.1","19.1"
"Royce Freeman","LAR","0.0","115.4","0.6","4.2","28.9","0.1","0.2","18.7"
"Justice Hill","BAL","27.2","119.7","0.3","6.1","37.5","0.1","0.2","18.0"
"Kevin Harris","NE","43.3","122.7","0.4","2.9","29.3","0.1","0.1","17.5"
"Hunter Luepke","DAL","18.0","51.1","0.6","6.9","47.5","0.6","0.0","17.4"
"Deneric Prince","KC","30.0","105.9","0.3","4.5","45.3","0.1","0.1","17.0"
"Kenny McIntosh","SEA","39.0","108.0","0.4","2.7","36.1","0.0","0.1","16.9"
"Corey Clement","ARI","17.4","93.4","0.4","5.7","42.3","0.1","0.0","16.6"
"Jason Huntley","IND","0.0","78.9","0.5","4.7","42.5","0.2","0.1","15.7"
"Ty Johnson","BUF","15.3","62.8","0.2","8.3","63.6","0.3","0.2","15.1"
"DeWayne McBride","MIN","33.6","102.2","0.2","1.0","34.5","0.0","0.2","14.8"
"Snoop Conner","JAC","18.2","99.5","0.5","2.2","11.0","0.1","0.1","14.2"
"Elijah Dotson","LAC","15.7","65.8","0.6","4.5","32.1","0.2","0.1","14.1"
"Jake Funk","IND","23.2","68.5","0.5","4.1","31.1","0.2","0.1","13.7"
"Kirk Merritt","NO","9.1","38.8","0.3","7.4","58.0","0.3","0.1","13.1"
"Alec Ingold","MIA","5.3","13.9","0.1","11.7","80.5","0.4","0.0","12.6"
"C.J. Ham","MIN","6.7","21.0","0.3","9.4","64.9","0.2","0.0","11.9"
"Spencer Brown","CAR","12.0","52.5","0.4","4.0","28.8","0.1","0.1","10.9"
"Ronnie Rivers","LAR","17.1","52.1","0.1","4.4","30.6","0.1","0.1","9.6"
"Reggie Gilliam","BUF","9.8","31.8","0.1","9.0","40.6","0.3","0.1","9.1"
"Jason Cabinda","DET","9.1","23.1","0.2","4.6","34.6","0.3","0.0","8.5"
"Patrick Ricard","BAL","6.2","18.7","0.1","7.2","48.8","0.3","0.6","8.0"
"Godwin Igwebuike","ATL","0.0","7.8","0.1","6.6","47.3","0.2","0.0","7.4"
"Giovanni Ricci","CAR","4.7","19.7","0.2","4.1","30.0","0.2","0.0","7.0"
"Brittain Brown","LV","4.6","19.4","0.2","4.1","28.3","0.2","0.0","6.8"
"Patrick Taylor Jr.","GB","9.1","43.7","0.2","1.1","10.4","0.0","0.1","6.8"
"Avery Williams","ATL","5.5","23.1","0.2","3.4","22.0","0.2","0.0","6.6"
"Michael Burton","DEN","9.4","22.0","0.2","3.6","21.0","0.2","0.0","6.4"
"Adam Prentice","NO","4.8","17.1","0.1","4.0","24.5","0.2","0.0","5.9"
"Jakob Johnson","LV","11.2","25.3","0.1","4.6","20.8","0.1","0.1","5.6"
"Henry Pearson","GB","0.0","13.1","0.1","3.7","16.4","0.2","0.0","4.9"
"Khari Blasingame","CHI","5.7","13.5","0.1","3.4","17.6","0.2","0.0","4.8"
"Jack Colletto","SF","0.0","7.3","0.1","3.6","16.3","0.2","0.0","3.9"
"Keith Smith","ATL","6.3","12.5","0.1","2.7","10.7","0.1","0.0","3.2"
