"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Travis Kelce","KC","89.6","968.0","7.5","0.8","141.0"
"Sam LaPorta","DET","86.3","893.7","7.9","0.4","136.1"
"Mark Andrews","BAL","71.9","871.4","7.9","0.5","133.8"
"George Kittle","SF","65.4","881.6","6.0","0.4","123.4"
"Kyle Pitts","ATL","68.0","877.5","5.2","0.4","117.9"
"Trey McBride","ARI","85.9","881.3","5.1","0.5","117.4"
"Dalton Kincaid","BUF","82.2","821.4","5.4","0.8","112.8"
"Jake Ferguson","DAL","71.0","739.4","5.9","0.4","108.6"
"David Njoku","CLE","69.5","767.0","5.4","1.2","106.9"
"Evan Engram","JAC","85.3","786.3","4.4","0.9","102.9"
"Dallas Goedert","PHI","66.6","703.6","4.1","0.5","94.3"
"Brock Bowers","LV","61.6","683.2","4.6","1.1","93.5"
"Dalton Schultz","HOU","57.1","610.6","4.9","0.8","88.8"
"Pat Freiermuth","PIT","59.2","614.5","4.6","0.5","88.1"
"T.J. Hockenson","MIN","61.7","618.5","3.6","0.8","81.8"
"Cole Kmet","CHI","56.3","556.2","4.1","0.5","79.3"
"Hunter Henry","NE","46.6","482.5","4.2","0.1","73.4"
"Tyler Conklin","NYJ","53.8","533.9","3.4","0.1","73.4"
"Cade Otton","TB","48.8","485.5","3.7","0.4","70.1"
"Luke Musgrave","GB","46.7","489.3","3.4","0.1","69.1"
"Juwan Johnson","NO","40.7","442.1","4.2","0.1","69.0"
"Chigoziem Okonkwo","TEN","49.6","527.9","2.6","0.4","67.9"
"Taysom Hill","NO","29.4","273.4","2.1","0.7","67.9"
"Noah Fant","SEA","45.0","480.9","2.8","0.1","64.5"
"Isaiah Likely","BAL","32.2","388.9","3.7","0.0","61.2"
"Jonnu Smith","MIA","37.8","415.9","2.8","0.4","57.8"
"Hayden Hurst","LAC","40.5","391.2","2.9","0.1","56.1"
"Mike Gesicki","CIN","36.4","357.2","3.1","0.1","54.5"
"Ben Sinnott","WAS","37.2","386.7","2.6","0.4","53.7"
"Tucker Kraft","GB","34.0","354.2","2.6","0.1","50.7"
"Dawson Knox","BUF","28.0","294.7","3.3","0.1","49.0"
"Greg Dulcich","DEN","33.8","374.7","1.9","0.1","49.0"
"Tyler Higbee","LAR","33.9","347.2","2.1","0.1","47.2"
"Daniel Bellinger","NYG","35.5","334.0","2.0","0.1","45.5"
"Colby Parkinson","LAR","29.1","307.6","2.5","0.1","45.4"
"Ja'Tavion Sanders","CAR","29.9","312.1","2.3","0.4","44.2"
"Zach Ertz","WAS","32.1","300.6","2.3","0.1","43.6"
"Michael Mayer","LV","29.2","312.7","2.0","0.1","43.3"
"Gerald Everett","CHI","30.4","279.5","2.2","0.1","41.1"
"Tommy Tremble","CAR","27.7","262.1","2.5","0.1","40.8"
"Theo Johnson","NYG","28.3","273.6","1.8","0.6","36.9"
"Jelani Woods","IND","22.7","264.0","1.8","0.1","36.8"
"Donald Parham Jr.","LAC","19.0","199.8","2.6","0.0","35.8"
"Kylen Granson","IND","23.8","258.3","1.5","0.0","34.8"
"Noah Gray","KC","22.5","237.1","1.7","0.1","33.9"
"Will Dissly","LAC","23.5","226.0","1.5","0.1","31.5"
"Brevin Jordan","HOU","14.7","188.1","1.9","0.0","30.0"
"Tanner Hudson","CIN","20.2","195.9","1.5","0.0","28.8"
"Durham Smythe","MIA","19.8","190.3","1.3","0.0","26.6"
"Mo Alie-Cox","IND","13.8","155.5","1.8","0.0","26.5"
"Jaheim Bell","NE","16.5","172.0","1.5","0.0","26.2"
"Johnny Mundt","MIN","19.4","186.1","1.2","0.0","25.9"
"Adam Trautman","DEN","17.3","167.0","1.5","0.0","25.9"
"Robert Tonyan","MIN","18.7","179.4","1.3","0.0","25.8"
"Jeremy Ruckert","NYJ","17.5","173.2","1.2","0.1","24.6"
"Brock Wright","DET","15.4","149.5","1.5","0.1","24.1"
"Elijah Higgins","ARI","16.3","177.5","1.0","0.0","23.6"
"Austin Hooper","NE","17.1","163.4","0.9","0.0","21.9"
"Josh Oliver","MIN","15.2","149.7","1.2","0.4","21.3"
"Foster Moreau","NO","12.5","139.5","1.0","0.0","20.1"
"Cade Stover","HOU","13.0","139.5","1.0","0.0","20.0"
"Devin Culp","TB","13.0","135.0","1.0","0.0","19.5"
"Dallin Holker","NO","13.0","135.0","1.0","0.0","19.5"
"Davis Allen","LAR","13.1","134.4","1.0","0.0","19.5"
"Will Mallory","IND","13.5","138.5","0.9","0.0","19.1"
"Josh Whyle","TEN","12.5","127.7","1.1","0.0","19.1"
"Pharaoh Brown","SEA","12.0","132.0","0.9","0.0","18.7"
"Jack Stoll","NYG","14.1","130.0","0.9","0.0","18.6"
"Trey Knox","MIN","12.0","125.0","1.0","0.0","18.5"
"Tanner McLachlan","CIN","12.5","123.5","1.0","0.0","18.4"
"Cameron Latu","SF","10.0","121.0","1.0","0.0","18.1"
"Brayden Willis","SF","10.0","121.0","1.0","0.0","18.1"
"Connor Heyward","PIT","15.3","137.8","0.7","0.0","18.1"
"Peyton Hendershot","DAL","11.7","118.1","1.0","0.0","17.9"
"John FitzPatrick","ATL","10.0","118.0","1.0","0.0","17.8"
"Luke Schoonmaker","DAL","10.9","111.8","1.1","0.0","17.6"
"AJ Barner","SEA","11.6","118.6","0.9","0.0","17.2"
"Teagan Quitoriano","HOU","6.5","100.6","1.1","0.0","16.6"
"Darnell Washington","PIT","11.2","112.3","0.9","0.0","16.3"
"Ian Thomas","CAR","12.6","129.1","0.6","0.0","16.2"
